Name,TeamAbbreviation,Turnovers,LiveBallTurnovers,Fouls,Charge Fouls,FoulsDrawn,OnDefRtg,Blocks,Steals,Points,FG2A,Fg2Pct,FG3A,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Usage,Rebounds,DefRebounds,DefTwoPtRebounds,DefTwoPtReboundPct,DefThreePtRebounds,DefThreePtReboundPct,OffRebounds,OffTwoPtRebounds,OffTwoPtReboundPct,OffThreePtRebounds,OffThreePtReboundPct,OffFGReboundPct,DefAtRimReboundPct,OffAtRimReboundPct,Assists,AssistPoints,TwoPtAssists,ThreePtAssists,FTA,TwoPtShootingFoulsDrawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3pt And 1 Free Throw Trips,NonShootingFoulsDrawn,ShootingFoulsDrawnPct,AtRimFG3AFrequency,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGA,AtRimFrequency,AtRimAccuracy,AtRimPctAssisted,ShortMidRangeFGA,ShortMidRangeFrequency,ShortMidRangeAccuracy,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeAccuracy,LongMidRangePctAssisted,LongMidRangePctBlocked,Corner3FGA,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3FGA,Arc3Accuracy,NonHeaveArc3FGA,NonHeaveArc3Accuracy
Josh Hart,NYK,2.72648835202761,1.76013805004314,1.73096796417499,0.0,3.14063848144953,116.073577445419,0.464156781846313,2.04572803850782,18.1018119068162,8.92148403796376,0.617021276595745,4.34857635893011,0.336,2.74374460742019,6.76445211389129,4.24503882657463,3.77911993097498,0.569456427955134,0.614420062695925,0.682926829268293,0.869047619047619,0.327698309492848,0.584671409749671,0.578673602080624,0.612018669778296,1.10440034512511,15.4208447280462,6.3468825353083,9.90201134605467,5.20887055183084,0.223122238586156,4.09145607701564,0.180576631259484,2.77825711820535,1.63934426229508,0.0660639777468706,1.10440034512511,0.0536912751677852,0.0604562737642585,0.196597353497164,0.0812274368231047,7.79982743744607,18.8610871440897,4.53839516824849,3.26143226919758,3.53753235547886,1.77739430543572,0.500431406384815,0.0,0.0,0.241587575496117,0.122182680901542,0.777633289986996,4.49419729206963,25.2230158730159,5.97066436583261,0.449934980494148,0.708092485549133,0.595918367346939,2.19154443485764,0.165149544863459,0.440944881889764,0.759275237273512,0.0572171651495448,0.409090909090909,0.666666666666667,0.0227272727272727,1.13891285591027,0.0858257477243173,0.303030303030303,0.307692307692308,0.95,3.20966350301985,0.344086021505376,184,0.347826086956522
Anthony Edwards,MIN,4.29088402550405,2.73996208857488,1.29388424048995,0.103394795795278,5.87627089436498,113.039723661485,0.880829015544042,1.57167530224525,37.5150784077202,13.8032052386697,0.500624219725343,13.9755298983285,0.399500624219725,7.15147337584008,5.30759951749095,8.51283818714458,7.85800448044115,8.68516284680338,0.384039900249377,0.39386189258312,0.475,0.503101736972705,0.536598061288305,0.546526054590571,0.594557449147883,0.344649319317594,31.3552891182273,3.8816527214698495,6.71848013816926,2.88428324697755,0.11768851303735,3.66148531951641,0.161216730038023,1.05118042391866,0.499741513010512,0.0229067930489731,0.516973978976392,0.0212765957446808,0.0220478325859491,0.0903732809430255,0.0296610169491525,6.18645528175082,15.3024297777012,3.25693606755127,2.92951921419955,8.54730311907634,3.87730484232294,0.965018094089264,0.137859727727038,0.0344649319317594,0.551438910908151,0.130386121992166,0.724565756823821,7.66042446941323,25.9474722564735,6.15199034981906,0.221464019851117,0.633053221288515,0.460176991150442,4.68723074271928,0.168734491315137,0.419117647058824,2.96398414613131,0.106699751861042,0.354651162790698,0.295081967213115,0.0116279069767441,1.72324659658797,0.0620347394540942,0.43,0.443298969072165,0.790697674418605,12.2522833017405,0.389592123769339,701,0.395149786019971
Devin Booker,PHX,3.88623918035683,2.56138491432609,1.75267770204479,0.0883236177353824,7.1365483130189,120.777146912704,0.28388928317956,1.18878637331441,33.9692633810281,15.3506447624095,0.542002301495972,9.73326267443914,0.332123411978221,7.63116057233704,7.17187776011306,9.468291821233,6.94223635400106,2.75569687334393,0.43099787685775,0.442265795206972,0.715846994535519,0.388028169014085,0.507716102889359,0.525,0.586983343615052,0.423953365129836,29.0546949098957,2.69983181375587,4.06316536550745,1.88076650106458,0.0797592174567344,2.11142654364798,0.0896759608138658,1.34251898957781,0.65359477124183,0.0304276315789473,0.688924218335983,0.0284671532846715,0.0293890177880897,0.069377990430622,0.0528301886792452,9.34463875640346,23.8827062356474,4.15121003356298,5.19342872284049,8.53206147323794,3.19731496202084,0.724253665430136,0.370959194488606,0.0883236177353824,0.794912559618442,0.127064803049555,0.529577464788732,10.1010356731876,25.9308529945554,3.55060943296237,0.141549295774648,0.691542288557214,0.517985611510791,7.22487193075428,0.288028169014085,0.474327628361858,4.57516339869281,0.182394366197183,0.532818532818533,0.485507246376812,0.0308880308880308,1.32485426603074,0.0528169014084507,0.346666666666667,0.346666666666667,0.961538461538462,8.40840840840841,0.329831932773109,476,0.329831932773109
Tyler Herro,MIA,3.61511776519993,2.48311119225854,0.777889631188798,0.0182581705313127,4.144604710608,114.45871559633,0.311926605504587,1.26605504587156,33.5950337776155,12.9085265656381,0.565770862800566,12.2329742559796,0.375748502994012,5.24009494248676,5.51396750045645,9.09256892459376,10.3523826912543,3.39601971882417,0.3775,0.387179487179487,0.752988047808765,0.486564996368918,0.520010410557185,0.563907044299201,0.605596269153897,0.365163410626255,27.6682418119602,3.65150544522742,6.67889908256881,2.75229357798165,0.113722517058378,3.63302752293578,0.155294117647059,0.639035968595947,0.273872557969691,0.0120481927710843,0.346905240094943,0.014809041309431,0.0134493670886075,0.0880361173814898,0.004750593824228,7.74146430527661,19.0980463757532,4.12634654007668,3.61511776519993,5.97042176373927,2.11794778163228,0.511228774876757,0.456454263282819,0.127807193719189,0.32864706956363,0.0944669365721997,0.649963689179375,7.47708628005658,26.4925261584454,4.10808836954537,0.163398692810458,0.657777777777778,0.385135135135135,7.02939565455541,0.279593318809005,0.537662337662338,1.77104254153734,0.0704429920116194,0.463917525773196,0.4,0.0618556701030927,1.46065364250502,0.0580973129992737,0.45,0.467532467532468,0.916666666666667,10.7723206134745,0.364406779661017,588,0.365646258503401
Jalen Green,HOU,3.68087035358114,2.55666364460562,1.15507048658481,0.0725294650951949,4.49682683590209,113.485401459854,0.492700729927007,1.2956204379562,31.2420670897552,14.0707162284678,0.481958762886598,11.985494106981,0.354545454545455,4.95013599274705,3.55394378966455,10.0090661831369,6.85403445149592,5.87488667271079,0.262032085561497,0.264864864864865,0.538461538461538,0.459986082115518,0.532795244854507,0.504523312456507,0.543381887270424,0.14505893019039,27.3160239668152,3.42883128694861,6.05839416058394,2.71897810218978,0.105524079320113,3.08394160583942,0.146193771626298,0.815956482320943,0.453309156844968,0.0161812297734627,0.344514959202176,0.0155102040816326,0.015884476534296,0.0816777041942604,0.0148148148148148,5.11332728921124,12.1305530371714,3.20942883046238,1.90389845874887,6.09247506799637,2.41160471441523,0.453309156844968,0.326382592928377,0.108794197642792,0.398912058023572,0.0969813744380218,0.700069589422408,7.95309278350516,26.1428139183056,6.25566636446056,0.240083507306889,0.643478260869565,0.283783783783784,4.11604714415231,0.157967988865692,0.352422907488987,3.69900271985494,0.1419624217119,0.352941176470588,0.305555555555556,0.0294117647058823,1.34179510426111,0.0514961725817675,0.378378378378378,0.383561643835616,0.678571428571429,10.6436990027199,0.350936967632027,586,0.351535836177474
Christian Braun,DEN,1.4687216681777,0.906618313689936,1.53860077835098,0.108794197642792,2.59292837715322,116.317311167329,0.668594145283701,1.53595952294904,22.0852221214869,10.8250226654578,0.648241206030151,4.06165004533092,0.399103139013453,3.20942883046238,10.6980961015413,3.33635539437897,4.2973708068903,0.543970988213962,0.762273901808786,0.806010928961749,0.887640449438202,0.272838002436054,0.592751707317073,0.633982947624848,0.666301969365427,0.761559383499547,15.9327461969576,3.71074305367002,5.63787495482472,2.42139501264908,0.0981684981684981,2.80086736537767,0.118683001531394,1.77697189483228,1.03354487760653,0.0436447166921898,0.743427017225748,0.0416243654822335,0.0427760803142732,0.087719298245614,0.0456273764258555,3.71713508612874,8.73980054397099,2.41160471441523,1.30553037171351,3.88032638259293,2.04895738893926,0.507706255666365,0.0,0.0,0.14505893019039,0.124724061810155,0.790499390986602,4.05276381909548,25.325,7.70625566636446,0.517661388550548,0.717647058823529,0.786885245901639,2.48413417951043,0.166869671132765,0.481751824817518,0.634632819582956,0.0426309378806333,0.457142857142857,0.625,0.0,1.34179510426111,0.0901339829476248,0.351351351351351,0.356164383561644,0.961538461538462,2.71985494106981,0.42,149,0.422818791946309
Zach LaVine,SAC,3.8525652898684895,2.51898499722171,1.12068167083449,0.0370438970179662,4.22300426004816,118.747684327529,0.222304557243424,1.07447202667655,31.9318392294869,12.7245786256714,0.561863173216885,9.92776440081496,0.44589552238806,4.35265789961104,7.07538433043156,7.22355991850343,7.22355991850343,6.05667716243749,0.494818652849741,0.501312335958005,0.543933054393305,0.438266557645135,0.549719884009942,0.60874897792314,0.637956748695004,0.185219485089831,25.6886823763691,2.91747707696582,5.42793627269359,2.00074101519081,0.0888157894736842,3.22341608002964,0.129850746268657,0.407482867197629,0.111131691053899,0.0049301561216105,0.277829227634747,0.0124481327800829,0.0086705202312138,0.0582750582750582,0.0021459227467811,5.74180403778478,13.7062418966475,3.5191702167068,2.22263382107798,5.2787553250602,2.50046304871272,0.629746249305427,0.0555658455269494,0.0,0.259307279125764,0.103993971363979,0.717089125102208,7.71703056768559,26.2165413533835,6.31598444156325,0.278822567457073,0.686217008797654,0.585470085470086,2.72272643082052,0.120196238757155,0.496598639455782,3.68586775328765,0.162714636140638,0.396984924623116,0.265822784810127,0.0100502512562814,1.62993146879052,0.0719542109566639,0.465909090909091,0.471264367816092,0.780487804878049,8.29783293202445,0.441964285714286,448,0.441964285714286
Derrick White,BOS,2.53630203291384,1.81994191674734,1.33850630455868,0.0193610842207163,3.17521781219748,111.622934888241,1.55490767735666,1.39941690962099,24.162633107454,5.18877057115198,0.593283582089552,13.378509196515,0.383502170767004,2.61374636979671,2.86544046466602,3.29138431752178,12.4298160696999,2.9622458857696,0.465408805031447,0.483660130718954,0.807547169811321,0.720542231491137,0.535680031282586,0.58029197080292,0.605442176870748,0.232333010648596,19.9210029194573,3.3074684772066,5.32555879494655,2.54616132167153,0.0977611940298507,2.66277939747328,0.110128617363344,1.297192642788,0.387221684414327,0.022002200220022,0.909970958373669,0.0295969773299748,0.026832198638366,0.0771028037383177,0.0354609929078014,6.98935140367861,17.0377541142304,3.93030009680542,3.05905130687319,3.11713455953533,1.04549854791868,0.193610842207164,0.174249757986447,0.0,0.329138431752178,0.0622529644268774,0.827945776850886,7.06455223880597,26.0400868306802,1.99419167473379,0.10740354535975,0.718446601941748,0.581081081081081,2.40077444336883,0.129301355578728,0.556451612903226,0.793804453049371,0.0427528675703858,0.390243902439024,0.5,0.0,2.38141335914811,0.128258602711157,0.430894308943089,0.430894308943089,1.0,10.9970958373669,0.373239436619718,568,0.373239436619718
Dyson Daniels,ATL,2.83415615286158,1.90162735417809,1.59671532846715,0.0731395136222344,2.39531907112818,116.226552540521,1.00163904571116,4.17046075396103,19.6196745291644,12.5617114646188,0.54585152838428,4.29694642530627,0.349344978165939,1.51764490766136,7.09453282135674,6.61912598281221,4.11409764125069,0.274273176083379,0.517333333333333,0.56231884057971,0.9375,0.254880694143167,0.554797840531561,0.536876355748373,0.545223577235772,1.09709270433352,18.1658692185008,4.09671532846715,5.91877617920233,2.62247313786196,0.119800332778702,2.91385904206884,0.135021097046414,2.26732492228927,1.22508685317243,0.0499627143922445,0.950813677089047,0.0434056761268781,0.0468688460023631,0.0981210855949895,0.0541044776119402,6.07057963064546,14.499908575608,3.7118303163284,2.35874931431706,2.5598829767782,1.2799414883891,0.25598829767782,0.0,0.0,0.109709270433352,0.0715746421267893,0.596529284164859,5.04890829694323,26.1314893617021,5.75973669775096,0.341648590021692,0.653968253968254,0.475728155339806,6.56427134759554,0.389370932754881,0.459610027855153,0.237703419272262,0.0140997830802603,0.307692307692308,0.75,0.0,1.04223806911684,0.061822125813449,0.43859649122807,0.446428571428571,1.0,3.25470835618943,0.308988764044944,172,0.319767441860465
Austin Reaves,LAL,3.40188352873342,2.67153565250817,1.44997119262531,0.0576590428598885,6.15029790505478,115.390520053732,0.422183841872961,1.55440414507772,28.3490294061119,9.72515856236787,0.547430830039526,10.2056505862003,0.382409177820268,6.16951758600807,4.68960215260427,5.95810109552182,8.30290217182395,3.22890640015376,0.44043321299639,0.450184501845018,0.72,0.51205400192864,0.52476241480039,0.556412729026037,0.615189873417722,0.230636171439554,23.5334833016093,3.15920875744191,5.14296680099789,2.03415851084245,0.0863895680521597,3.05123776626367,0.126996805111821,1.17240053815107,0.615029790505478,0.0290644868301544,0.538151066692293,0.024390243902439,0.0266785237883503,0.0606060606060606,0.0273972602739726,8.07226600038439,19.142802229483,5.07399577167019,2.9982702287142,7.0344032289064,2.67153565250817,0.730347876225255,0.288295214299443,0.0576590428598885,0.672688833365366,0.133913043478261,0.702025072324012,6.88241106719368,26.8847457627119,3.78627714779935,0.189971070395371,0.695431472081218,0.467153284671533,4.90101864309052,0.245901639344262,0.458823529411765,1.03786277147799,0.0520732883317261,0.425925925925926,0.391304347826087,0.037037037037037,1.32615798577744,0.0665380906460945,0.463768115942029,0.463768115942029,1.0,8.87949260042283,0.363636363636364,454,0.370044052863436
